You entered a buffer length of 20
-0.391693,2.062627, Max:2.249205, Min:-1.760158
-0.469720,1.909985, Max:2.249205, Min:-1.760158
-0.607767,1.754103, Max:2.249205, Min:-1.760158
-0.745814,1.597458, Max:2.249205, Min:-1.760158
-0.943881,1.437174, Max:2.249205, Min:-1.760158
-1.099934,1.278809, Max:2.249205, Min:-1.760158
-1.279995,1.118139, Max:2.249205, Min:-1.760158
-1.472060,0.956453, Max:2.249205, Min:-1.760158
-1.658124,0.798318, Max:2.249205, Min:-1.760158
-1.730148,0.650864, Max:2.249205, Min:-1.760158
-1.754156,0.507245, Max:2.249205, Min:-1.760158
-1.760158,0.365618, Max:2.249205, Min:-1.760158
-1.760158,0.224391, Max:2.249205, Min:-1.760158
-1.760158,0.083184, Max:2.249205, Min:-1.760158
-1.760158,-0.058022, Max:2.249205, Min:-1.760158
-1.760158,-0.199228, Max:2.249205, Min:-1.760158
-1.760158,-0.340434, Max:2.249205, Min:-1.760158
-1.760158,-0.481640, Max:2.249205, Min:-1.760158
-1.760158,-0.622846, Max:2.249205, Min:-1.760158
-1.760158,-0.565384, Max:2.249205, Min:-1.760158
-1.760158,-0.627033, Max:2.249205, Min:-1.760158
-1.760158,-0.694637, Max:2.249205, Min:-1.760158
-1.760158,-0.762539, Max:2.249205, Min:-1.760158
-1.730148,-0.825355, Max:2.249205, Min:-1.760158
-1.640118,-0.883414, Max:2.249205, Min:-1.760158
-1.526079,-0.939135, Max:2.249205, Min:-1.760158
-1.400036,-0.992038, Max:2.249205, Min:-1.760158
-1.189965,-1.036998, Max:2.249205, Min:-1.760158
-0.907869,-1.072557, Max:2.249205, Min:-1.760158
-0.511734,-1.095642, Max:2.249205, Min:-1.760158
0.022448,-1.103098, Max:2.249205, Min:-1.760158
0.796711,-1.081864, Max:2.249205, Min:-1.760158
1.757037,-1.064297, Max:2.249205, Min:-1.760158
2.093152,-1.102732, Max:2.249205, Min:-1.760158
2.177180,-1.161073, Max:2.249205, Min:-1.760158
2.201188,-1.228211, Max:2.249205, Min:-1.760158
2.213192,-1.295190, Max:2.249205, Min:-1.760158
2.213192,-1.363061, Max:2.249205, Min:-1.760158
